N1obs,N2obs,Yobs,fint,nests,phihat0,phihat1,sephihat0,sephihat1
32.0,106.0,14.0,32.0,25.0,,,1.0,1.0
9.0,50.0,11.0,,10.0,,,1.0,1.0
14.0,46.0,24.0,,13.0,,,1.0,1.0
21.0,66.0,11.0,,16.0,,,1.0,1.0
30.0,56.0,18.0,,15.0,,,1.0,1.0
56.0,58.0,29.0,,13.0,,,1.0,1.0
16.0,62.0,56.0,,31.0,,,1.0,1.0
21.0,62.0,48.0,,30.0,0.422,0.78,0.149,0.105
9.0,66.0,54.0,,29.0,0.32,0.696,0.093,0.097
4.0,72.0,54.0,,35.0,0.331,0.707,0.106,0.093
27.0,86.0,53.0,,39.0,0.104,0.361,0.039,0.067
11.0,86.0,41.0,,43.0,,,1.0,1.0
30.0,78.0,40.0,,39.0,,,1.0,1.0
10.0,60.0,48.0,,30.0,,,1.0,1.0
17.0,46.0,50.0,,22.0,,,1.0,1.0
14.0,52.0,38.0,,25.0,,,1.0,1.0
8.0,58.0,26.0,,29.0,,,1.0,1.0
14.0,58.0,57.0,,29.0,,,1.0,1.0
14.0,68.0,53.0,,32.0,,,1.0,1.0
21.0,64.0,67.0,,31.0,,,1.0,1.0
18.0,62.0,32.0,,29.0,,,1.0,1.0
18.0,64.0,46.0,,32.0,,,1.0,1.0
11.0,70.0,40.0,,35.0,,,1.0,1.0
14.0,64.0,55.0,,33.0,0.499,0.777,0.083,0.083
13.0,66.0,42.0,,38.0,,0.42,1.0,0.075
12.0,66.0,35.0,,32.0,,0.612,1.0,0.118
8.0,60.0,40.0,,30.0,0.432,0.857,0.109,0.07
8.0,54.0,36.0,,27.0,0.149,0.771,0.069,0.066
26.0,64.0,44.0,,33.0,,0.625,1.0,0.082
16.0,62.0,37.0,,31.0,,0.787,1.0,0.091
15.0,76.0,62.0,,38.0,,,1.0,1.0
9.0,84.0,45.0,,32.0,,,1.0,1.0
